Date,Open,High,Low,Close,Adj Close,Volume
2023-04-07,193000.000000,195400.000000,192900.000000,193400.000000,193400.000000,531141
2023-04-10,193300.000000,193700.000000,190500.000000,193000.000000,193000.000000,783772
2023-04-11,193300.000000,200000.000000,193300.000000,199900.000000,199900.000000,1137837
2023-04-12,199300.000000,200500.000000,196900.000000,198000.000000,198000.000000,700638
2023-04-13,196200.000000,198800.000000,195600.000000,196400.000000,196400.000000,727674
2023-04-14,198700.000000,200500.000000,197000.000000,199000.000000,199000.000000,964852
2023-04-17,199000.000000,199300.000000,196300.000000,197000.000000,197000.000000,556371
2023-04-18,196100.000000,196900.000000,191500.000000,192800.000000,192800.000000,1022386
2023-04-19,192400.000000,192500.000000,191400.000000,191400.000000,191400.000000,612192
2023-04-20,191600.000000,192700.000000,189900.000000,191600.000000,191600.000000,581315
2023-04-21,191500.000000,192100.000000,190100.000000,190300.000000,190300.000000,479007
2023-04-24,189000.000000,191800.000000,188500.000000,190000.000000,190000.000000,469050
2023-04-25,190000.000000,191200.000000,186000.000000,186100.000000,186100.000000,778485
2023-04-26,185800.000000,190900.000000,185700.000000,188100.000000,188100.000000,671910
2023-04-27,188000.000000,189400.000000,186500.000000,188200.000000,188200.000000,470891
2023-04-28,190000.000000,193400.000000,190000.000000,192300.000000,192300.000000,902999
2023-05-02,192200.000000,193200.000000,191400.000000,193200.000000,193200.000000,491178
2023-05-03,191800.000000,193400.000000,191300.000000,192600.000000,192600.000000,448203
2023-05-04,191100.000000,197300.000000,189000.000000,196100.000000,196100.000000,900385
2023-05-08,200500.000000,207500.000000,198200.000000,207000.000000,207000.000000,2034862
2023-05-09,209000.000000,214500.000000,208500.000000,211000.000000,211000.000000,1855368
2023-05-10,211000.000000,212500.000000,206500.000000,210000.000000,210000.000000,763447
2023-05-11,213000.000000,216000.000000,210500.000000,211000.000000,211000.000000,825757
2023-05-12,212000.000000,214000.000000,210000.000000,213500.000000,213500.000000,666880
2023-05-15,212000.000000,213500.000000,207500.000000,212000.000000,212000.000000,584184
2023-05-16,212500.000000,213500.000000,207000.000000,207500.000000,207500.000000,528940
2023-05-17,207500.000000,214000.000000,207500.000000,213000.000000,213000.000000,538104
2023-05-18,213500.000000,214000.000000,210000.000000,212500.000000,212500.000000,378470
2023-05-19,214000.000000,217000.000000,212500.000000,216500.000000,216500.000000,870698
2023-05-22,215500.000000,218000.000000,214000.000000,215000.000000,215000.000000,534887
2023-05-23,215500.000000,216000.000000,211500.000000,212000.000000,212000.000000,550247
2023-05-24,208000.000000,209500.000000,202500.000000,203000.000000,203000.000000,1210194
2023-05-25,202500.000000,207500.000000,202500.000000,206000.000000,206000.000000,791642
2023-05-26,204500.000000,207000.000000,202500.000000,202500.000000,202500.000000,505880
2023-05-30,205000.000000,205000.000000,200500.000000,201500.000000,201500.000000,609318
2023-05-31,201500.000000,203000.000000,199100.000000,199500.000000,199500.000000,993582
2023-06-01,199900.000000,204000.000000,199900.000000,204000.000000,204000.000000,547388
2023-06-02,204500.000000,205000.000000,202500.000000,204500.000000,204500.000000,405330
2023-06-05,205500.000000,206500.000000,204000.000000,204500.000000,204500.000000,428762
2023-06-07,206500.000000,208000.000000,204000.000000,205000.000000,205000.000000,553505
2023-06-08,203000.000000,203500.000000,200000.000000,200500.000000,200500.000000,717690
2023-06-09,202000.000000,205000.000000,200500.000000,200500.000000,200500.000000,546093
2023-06-12,202500.000000,203500.000000,199700.000000,200500.000000,200500.000000,417698
2023-06-13,202000.000000,203000.000000,199600.000000,201000.000000,201000.000000,565013
2023-06-14,201000.000000,202000.000000,198300.000000,199200.000000,199200.000000,666340
2023-06-15,200000.000000,202500.000000,199900.000000,200500.000000,200500.000000,557684
2023-06-16,202500.000000,204500.000000,202000.000000,202500.000000,202500.000000,751013
2023-06-19,202500.000000,202500.000000,198500.000000,198600.000000,198600.000000,669785
2023-06-20,199500.000000,201000.000000,197900.000000,198500.000000,198500.000000,437974
2023-06-21,199100.000000,199200.000000,189900.000000,189900.000000,189900.000000,1358963
2023-06-22,189400.000000,193200.000000,189300.000000,191300.000000,191300.000000,580244
2023-06-23,191500.000000,192000.000000,188900.000000,188900.000000,188900.000000,689964
2023-06-26,187700.000000,191200.000000,187600.000000,188900.000000,188900.000000,489487
2023-06-27,188000.000000,188000.000000,184100.000000,185900.000000,185900.000000,877288
2023-06-28,187500.000000,188100.000000,182800.000000,184800.000000,184800.000000,717140
2023-06-29,183800.000000,186200.000000,183400.000000,183400.000000,183400.000000,578195
2023-06-30,183300.000000,184500.000000,180600.000000,182800.000000,182800.000000,683584
